"","v","w","x"
"1",129,113,1
"2",129,113,1
"3",258,226,1
"4",1032,904,1
"5",76,180,1
"6",1032,904,1
"7",760,1800,1
"8",228,540,1
"9",152,360,0
"10",456,1080,0
"11",387,339,1
"12",903,791,1
"13",774,678,1
"14",380,900,0
"15",76,180,0
"16",76,180,1
"17",387,339,1
"18",456,1080,1
"19",1161,1017,1
"20",152,360,1
"21",387,339,1
"22",387,339,1
"23",152,360,1
"24",903,791,1
"25",228,540,1
"26",152,360,1
"27",760,1800,1
"28",258,226,1
"29",380,900,1
"30",760,1800,1
"31",645,565,1
"32",129,113,1
"33",304,720,0
"34",774,678,1
"35",760,1800,0
"36",304,720,0
"37",380,900,0
"38",228,540,0
"39",608,1440,0
"40",380,900,0
"41",760,1800,0
"42",304,720,0
"43",608,1440,0
"44",387,339,1
"45",387,339,1
"46",774,678,1
"47",304,720,0
"48",1032,904,1
"49",380,900,0
"50",228,540,0
"51",608,1440,0
"52",1161,1017,1
"53",1290,1130,1
"54",645,565,1
"55",903,791,1
"56",304,720,0
"57",228,540,0
"58",684,1620,0
"59",380,900,0
"60",645,565,1
"61",1290,1130,1
"62",532,1260,1
"63",903,791,1
"64",228,540,1
"65",76,180,1
"66",760,1800,1
"67",304,720,1
"68",1161,1017,1
"69",608,1440,1
"70",304,720,1
"71",76,180,1
"72",608,1440,1
"73",258,226,1
"74",516,452,1
"75",258,226,1
"76",387,339,1
"77",774,678,1
"78",456,1080,1
"79",1032,904,1
"80",228,540,1
"81",684,1620,1
"82",516,452,1
"83",645,565,1
"84",152,360,1
"85",774,678,1
"86",304,720,1
"87",152,360,1
"88",228,540,1
"89",152,360,1
"90",152,360,1
"91",516,452,1
"92",903,791,1
"93",684,1620,1
"94",258,226,1
"95",1032,904,1
"96",76,180,1
"97",258,226,1
"98",228,540,1
"99",129,113,1
"100",380,900,0
