"","v","w","x"
"1",747,459,1
"2",415,255,1
"3",166,102,1
"4",166,102,1
"5",315,610,1
"6",332,204,1
"7",504,976,1
"8",189,366,1
"9",504,976,1
"10",126,244,1
"11",83,51,1
"12",249,153,1
"13",830,510,1
"14",567,1098,1
"15",189,366,1
"16",567,1098,1
"17",249,153,1
"18",378,732,1
"19",249,153,1
"20",630,1220,1
"21",581,357,1
"22",747,459,1
"23",630,1220,1
"24",581,357,1
"25",63,122,1
"26",252,488,1
"27",630,1220,1
"28",498,306,1
"29",189,366,1
"30",504,976,1
"31",83,51,1
"32",747,459,1
"33",630,1220,1
"34",830,510,1
"35",126,244,1
"36",378,732,0
"37",189,366,0
"38",567,1098,1
"39",252,488,0
"40",315,610,0
"41",504,976,0
"42",378,732,0
"43",630,1220,1
"44",415,255,1
"45",415,255,1
"46",830,510,1
"47",378,732,1
"48",830,510,1
"49",441,854,1
"50",441,854,1
"51",504,976,1
"52",83,51,1
"53",498,306,1
"54",747,459,1
"55",747,459,1
"56",378,732,1
"57",189,366,1
"58",441,854,1
"59",63,122,1
"60",581,357,1
"61",166,102,1
"62",63,122,1
"63",415,255,1
"64",63,122,1
"65",63,122,1
"66",252,488,1
"67",378,732,1
"68",249,153,1
"69",126,244,1
"70",378,732,1
"71",189,366,1
"72",126,244,1
"73",332,204,1
"74",332,204,1
"75",166,102,1
"76",581,357,1
"77",498,306,1
"78",252,488,1
"79",498,306,1
"80",189,366,1
"81",189,366,1
"82",332,204,1
"83",581,357,1
"84",504,976,1
"85",830,510,1
"86",504,976,1
"87",252,488,1
"88",567,1098,1
"89",378,732,1
"90",126,244,0
"91",498,306,1
"92",83,51,1
"93",567,1098,1
"94",830,510,1
"95",830,510,1
"96",315,610,1
"97",332,204,1
"98",189,366,1
"99",249,153,1
"100",441,854,0
